realname,username,email,password,is_vip,balance,customer_id,is_admin
Isabelle Redfield,iredfield0,iredfield0@sphinn.com,XJzDCH9791W,0,141.84,1,0
Rancell Bruna,rbruna1,rbruna1@sourceforge.net,tBB1gwy8,0,81.44,2,0
Levey Gwillym,lgwillym2,lgwillym2@mashable.com,12Na3srBqHc,0,39.61,3,0
Hedvige Langham,hlangham3,hlangham3@reverbnation.com,W3dJjJ,0,99.64,4,0
Lorenza Heed,lheed4,lheed4@washington.edu,GpMO0zRLwE,0,125.29,5,0
Kirby Brigstock,kbrigstock5,kbrigstock5@oaic.gov.au,sv4hMEAy,0,155,6,0
Carlina Ilson,cilson6,cilson6@altervista.org,ZH2finCSmrzR,0,140.86,7,0
Leon Cashford,lcashford7,lcashford7@mapquest.com,Oqm5IJpQrp3,0,133.85,8,0
Rolfe De Normanville,rde8,rde8@xinhuanet.com,FDmKsFkNV,0,119.26,9,0
Delly Janaszewski,djanaszewski9,djanaszewski9@sphinn.com,M07KMUu,1,220.93,10,0
Manolo Addey,maddeya,maddeya@java.com,iCYkRx4HPus,1,115.12,11,0
Adelaide Ryam,aryamb,aryamb@ucoz.ru,p33rhXtkk7,0,206.32,12,0
Karrah Brewins,kbrewinsc,kbrewinsc@quantcast.com,qZszkmIXaAgo,0,216.43,13,0
Jase Crosdill,jcrosdilld,jcrosdilld@netvibes.com,KHfjDHv7zzx,0,103.89,14,0
Ynes Galiero,ygalieroe,ygalieroe@sun.com,UEi2aZMrS,0,232.6,15,0
Cookie Fairman,cfairmanf,cfairmanf@istockphoto.com,UE6osEl4Z,0,129.83,16,0
Athene Riquet,ariquetg,ariquetg@zimbio.com,wjAyPn5Im1X,0,33.13,17,0
Berti Lomas,blomash,blomash@unesco.org,Wgbu8t,1,36.19,18,0
Abel Falk,afalki,afalki@ebay.co.uk,bRbuDf3L,0,240.68,19,0
Joey Zumbusch,jzumbuschj,jzumbuschj@wired.com,iBkDCod,0,62.13,20,0
Darn Jambrozek,djambrozekk,djambrozekk@arstechnica.com,zNAu5HP7InB,1,168.8,21,0
Mersey Morat,mmoratl,mmoratl@php.net,OU4IEMBmqdM,0,189.17,22,0
Skye Hurrion,shurrionm,shurrionm@imageshack.us,dDDvULN,0,178.12,23,0
Jerrie Armstrong,jarmstrongn,jarmstrongn@omniture.com,TP3AlzfM,0,222.07,24,0
Aleta Reyson,areysono,areysono@narod.ru,iTYtJa,0,122.66,25,0
Jacinda Pardie,jpardiep,jpardiep@purevolume.com,TEW2rwb,0,66.08,26,0
Oralie Mingame,omingameq,omingameq@stumbleupon.com,DYJBKeVZ70Q,1,244.34,27,0
Dionis Stansall,dstansallr,dstansallr@home.pl,DR5uX3,0,117.63,28,0
Elenore Cawsey,ecawseys,ecawseys@shareasale.com,NzYoV69NjDf,0,240.6,29,0
Laurette Muscroft,lmuscroftt,lmuscroftt@feedburner.com,KOaVxjod,0,67.01,30,0
Lalo Goble,lgobleu,lgobleu@google.ru,P8Xere,0,95.77,31,0
Skell Hidderley,shidderleyv,shidderleyv@myspace.com,Rd3vkZitUV8,0,241.76,32,0
Orlan Iredell,oiredellw,oiredellw@ox.ac.uk,OtbGFe,0,198.88,33,0
Garvin Greser,ggreserx,ggreserx@people.com.cn,SjftiOx,0,94.61,34,0
Shannah Newtown,snewtowny,snewtowny@surveymonkey.com,e4BKTSJb,0,40.94,35,0
Noel de Grey,ndez,ndez@moonfruit.com,YjRFgOQuR,0,219.92,36,0
Teddi Winscum,twinscum10,twinscum10@accuweather.com,wiUdCgiZsqE,0,197.81,37,0
Mickie Mains,mmains11,mmains11@newsvine.com,AIKZDgg,0,158.37,38,0
Nathanial O'Reagan,noreagan12,noreagan12@patch.com,vyKy1r01H2,0,37.99,39,0
Tristan Sergison,tsergison13,tsergison13@bravesites.com,DMSfJCuFK,0,222.91,40,0
Nadiya Zavattari,nzavattari14,nzavattari14@cyberchimps.com,bUD8HZqfYK,1,214.57,41,0
Fulton Firidolfi,ffiridolfi15,ffiridolfi15@wired.com,ngOJPLnuoR,0,160.17,42,0
Derrik Arend,darend16,darend16@i2i.jp,7rd8yAwX,1,128.47,43,0
Maryjo Kippling,mkippling17,mkippling17@cornell.edu,OHz0RIb54ds,1,55.53,44,0
Dolores Gunda,dgunda18,dgunda18@furl.net,vN5WJ7r0XW,1,111.47,45,0
Theodora Beasleigh,tbeasleigh19,tbeasleigh19@devhub.com,ayCbZrpjkR82,0,174.54,46,0
Norry Penke,npenke1a,npenke1a@elegantthemes.com,xCgcFCurbO2,0,141.78,47,0
Stefa Langmuir,slangmuir1b,slangmuir1b@cnn.com,ZNxy2PmSwW5,0,207.08,48,0
Yves Newbigging,ynewbigging1c,ynewbigging1c@xrea.com,NsqxRQPj,0,139.68,49,0
Lianne Masic,lmasic1d,lmasic1d@stumbleupon.com,ZksxqkrmM,0,189.97,50,0
Sallyanne Hadlow,shadlow1e,shadlow1e@msn.com,9PIEVYhxqsfj,0,153.71,51,0
Toddy Campione,tcampione1f,tcampione1f@theatlantic.com,w9Ny0h7Za,0,135.57,52,0
Norene Dalbey,ndalbey1g,ndalbey1g@addtoany.com,pNyGJvixc6,0,80.38,53,0
Dore Mehaffey,dmehaffey1h,dmehaffey1h@miitbeian.gov.cn,szT3Q265y,0,247.35,54,0
Adams Sibbons,asibbons1i,asibbons1i@de.vu,CKvIWuGZL,1,68.87,55,0
Ban Ortelt,bortelt1j,bortelt1j@washington.edu,4ttx7TeG,0,65.43,56,0
Prince Stille,pstille1k,pstille1k@google.de,Li2uOldczfay,0,93.52,57,0
Jerry Greenless,jgreenless1l,jgreenless1l@mlb.com,Vp3o5569fbfN,0,59.11,58,0
Austin Pothergill,apothergill1m,apothergill1m@earthlink.net,KuEmv6,1,138.49,59,0
Goldi Pickthall,gpickthall1n,gpickthall1n@naver.com,aVyQt9h,0,53.31,60,0
Warden Engelmann,wengelmann1o,wengelmann1o@aboutads.info,N13IeG4F,0,143.84,61,0
Mia Capaldo,mcapaldo1p,mcapaldo1p@ucoz.com,vgHgOx,0,92.19,62,0
Allie Fontel,afontel1q,afontel1q@fda.gov,6nMFAwIy1n7q,0,220.36,63,0
Roi Le Barre,rle1r,rle1r@list-manage.com,XgSf14jKLOh9,0,134.53,64,0
Tania Brendish,tbrendish1s,tbrendish1s@newyorker.com,AyvdXN4,0,144.97,65,0
Bria Haywood,bhaywood1t,bhaywood1t@ycombinator.com,qB4ApekH,0,213.34,66,0
Vic Gregor,vgregor1u,vgregor1u@va.gov,Xz7l67w,0,108.23,67,0
Gaylor Oak,goak1v,goak1v@apple.com,kymNiZKlJ,0,34.06,68,0
Rena Lotterington,rlotterington1w,rlotterington1w@google.pl,6uOnzS,0,220.75,69,0
Bella Lisciardelli,blisciardelli1x,blisciardelli1x@washington.edu,UWrDY4ZWth,0,172.31,70,0
Randy James,R10,r@gmail.com,123,1,900.00,71,1
